Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,FireplaceQu,GarageType,GarageFinish,SaleType,SaleCondition
11,20,70.0,11200,5,5,1965,1965,0.0,906,134,1040,1040,0,1040,1,1,0,3,5,0,1965.0,1,384,0,0,0,2,2008,RL,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,Hip,HdBoard,HdBoard,None,TA,TA,CBlock,TA,No,Rec,Unf,Ex,TA,,Detchd,Unf,WD,Normal
12,60,85.0,11924,9,5,2005,2006,286.0,998,177,1175,1182,1142,2324,1,3,0,4,11,2,2005.0,3,736,147,21,0,7,2006,RL,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,Hip,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,No,GLQ,Unf,Ex,Ex,Gd,BuiltIn,Fin,New,Partial
13,20,,12968,5,6,1962,1962,0.0,737,175,912,912,0,912,1,1,0,2,4,0,1962.0,1,352,140,0,0,9,2008,RL,IR2,Lvl,Inside,Sawyer,Norm,1Fam,1Story,Hip,HdBoard,Plywood,None,TA,TA,CBlock,TA,No,ALQ,Unf,TA,TA,,Detchd,Unf,WD,Normal
14,20,91.0,10652,7,5,2006,2007,306.0,0,1494,1494,1494,0,1494,0,2,0,3,7,1,2006.0,3,840,160,33,0,8,2007,RL,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Av,Unf,Unf,Ex,Gd,Gd,Attchd,RFn,New,Partial
15,20,,10920,6,5,1960,1960,212.0,733,520,1253,1253,0,1253,1,1,1,2,5,1,1960.0,1,352,0,213,176,5,2008,RL,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,Hip,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,No,BLQ,Unf,TA,TA,Fa,Attchd,RFn,WD,Normal
16,45,51.0,6120,7,8,1929,2001,0.0,0,832,832,854,0,854,0,1,0,2,5,0,1991.0,2,576,48,112,0,7,2007,RM,Reg,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,No,Unf,Unf,Ex,TA,,Detchd,Unf,WD,Normal
17,20,,11241,6,7,1970,1970,180.0,578,426,1004,1004,0,1004,1,1,0,2,5,1,1970.0,2,480,0,0,0,3,2010,RL,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,No,ALQ,Unf,Ex,TA,TA,Attchd,Fin,WD,Normal
18,90,72.0,10791,4,5,1967,1967,0.0,0,0,0,1296,0,1296,0,2,0,2,6,0,1967.0,2,516,0,0,0,10,2006,RL,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,Gable,MetalSd,MetalSd,None,TA,TA,Slab,,,,,TA,TA,,CarPort,Unf,WD,Normal
19,20,66.0,13695,5,5,2004,2004,0.0,646,468,1114,1114,0,1114,1,1,1,3,6,0,2004.0,2,576,0,102,0,6,2008,RL,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,TA,No,GLQ,Unf,Ex,Gd,,Detchd,Unf,WD,Normal
20,20,70.0,7560,5,6,1958,1965,0.0,504,525,1029,1339,0,1339,0,1,0,3,6,0,1958.0,1,294,0,0,0,5,2009,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Hip,BrkFace,Plywood,None,TA,TA,CBlock,TA,No,LwQ,Unf,TA,TA,,Attchd,Unf,COD,Abnorml
21,60,101.0,14215,8,5,2005,2006,380.0,0,1158,1158,1158,1218,2376,0,3,1,4,9,1,2005.0,3,853,240,154,0,11,2006,RL,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,Av,Unf,Unf,Ex,Gd,Gd,BuiltIn,RFn,New,Partial
22,45,57.0,7449,7,7,1930,1950,0.0,0,637,637,1108,0,1108,0,1,0,3,6,1,1930.0,1,280,0,0,205,6,2007,RM,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,No,Unf,Unf,Ex,Gd,Gd,Attchd,Unf,WD,Normal
23,20,75.0,9742,8,5,2002,2002,281.0,0,1777,1777,1795,0,1795,0,2,0,3,7,1,2002.0,2,534,171,159,0,9,2008,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,Unf,Unf,Ex,Gd,Gd,Attchd,RFn,WD,Normal
24,120,44.0,4224,5,7,1976,1976,0.0,840,200,1040,1060,0,1060,1,1,0,3,6,1,1976.0,2,572,100,110,0,6,2007,RM,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,Gable,CemntBd,CmentBd,None,TA,TA,PConc,Gd,No,GLQ,Unf,TA,TA,TA,Attchd,Unf,WD,Normal
25,20,,8246,5,8,1968,2001,0.0,188,204,1060,1060,0,1060,1,1,0,3,6,1,1968.0,1,270,406,90,0,5,2010,RL,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,Gable,Plywood,Plywood,None,TA,Gd,CBlock,TA,Mn,Rec,ALQ,Ex,Gd,TA,Attchd,Unf,WD,Normal
26,20,110.0,14230,8,5,2007,2007,640.0,0,1566,1566,1600,0,1600,0,2,0,3,7,1,2007.0,3,890,0,56,0,7,2009,RL,Reg,Lvl,Corner,NridgHt,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,No,Unf,Unf,Ex,Gd,Gd,Attchd,RFn,WD,Normal
27,20,60.0,7200,5,7,1951,2000,0.0,234,180,900,900,0,900,0,1,0,3,5,0,2005.0,2,576,222,32,0,5,2010,RL,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,Mn,BLQ,Rec,TA,Gd,,Detchd,Unf,WD,Normal
28,20,98.0,11478,8,5,2007,2008,200.0,1218,486,1704,1704,0,1704,1,2,0,3,7,1,2008.0,3,772,0,50,0,5,2010,RL,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,No,GLQ,Unf,Ex,Gd,Gd,Attchd,RFn,WD,Normal
29,20,47.0,16321,5,6,1957,1997,0.0,1277,207,1484,1600,0,1600,1,1,0,2,6,2,1957.0,1,319,288,258,0,12,2006,RL,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,Gd,BLQ,Unf,TA,TA,Gd,Attchd,RFn,WD,Normal
30,30,60.0,6324,4,6,1927,1950,0.0,0,520,520,520,0,520,0,1,0,1,4,0,1920.0,1,240,49,0,87,5,2008,RM,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,No,Unf,Unf,Fa,Fa,,Detchd,Unf,WD,Normal
31,70,50.0,8500,4,4,1920,1950,0.0,0,649,649,649,668,1317,0,1,0,3,6,0,1920.0,1,250,0,54,172,7,2008,C (all),Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,Gambrel,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,No,Unf,Unf,TA,TA,,Detchd,Unf,WD,Normal
32,20,,8544,5,6,1966,2006,0.0,0,1228,1228,1228,0,1228,0,1,1,3,6,0,1966.0,1,271,0,65,0,6,2008,RL,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,No,Unf,Unf,Gd,Gd,,Attchd,Unf,WD,Normal
33,20,85.0,11049,8,5,2007,2007,0.0,0,1234,1234,1234,0,1234,0,2,0,3,7,0,2007.0,2,484,0,30,0,1,2008,RL,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,Av,Unf,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
34,20,70.0,10552,5,5,1959,1959,0.0,1018,380,1398,1700,0,1700,0,1,1,4,6,1,1959.0,2,447,0,38,0,4,2010,RL,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,Hip,BrkFace,BrkFace,None,TA,TA,CBlock,TA,No,Rec,Unf,Gd,Gd,Gd,Attchd,RFn,WD,Normal
35,120,60.0,7313,9,5,2005,2005,246.0,1153,408,1561,1561,0,1561,1,2,0,2,6,1,2005.0,2,556,203,47,0,8,2007,RL,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,No,GLQ,Unf,Ex,Ex,Gd,Attchd,Fin,WD,Normal
36,60,108.0,13418,8,5,2004,2005,132.0,0,1117,1117,1132,1320,2452,0,3,1,4,9,1,2004.0,3,691,113,32,0,9,2006,RL,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,Av,Unf,Unf,Ex,Gd,Gd,BuiltIn,Fin,WD,Normal
37,20,112.0,10859,5,5,1994,1995,0.0,0,1097,1097,1097,0,1097,0,1,1,3,6,0,1995.0,2,672,392,64,0,6,2009,RL,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,No,Unf,Unf,Ex,TA,,Attchd,Unf,WD,Normal
38,20,74.0,8532,5,6,1954,1990,650.0,1213,84,1297,1297,0,1297,0,1,0,3,5,1,1954.0,2,498,0,0,0,10,2009,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Hip,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,No,Rec,Unf,Gd,TA,TA,Attchd,Fin,WD,Normal
39,20,68.0,7922,5,7,1953,2007,0.0,731,326,1057,1057,0,1057,1,1,0,3,5,0,1953.0,1,246,0,52,0,1,2010,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,No,GLQ,Unf,TA,Gd,,Detchd,Unf,WD,Abnorml
40,90,65.0,6040,4,5,1955,1955,0.0,0,0,0,1152,0,1152,0,2,0,2,6,0,,0,0,0,0,0,6,2008,RL,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,Gable,AsbShng,Plywood,None,TA,TA,PConc,,,,,TA,Fa,,,,WD,AdjLand
41,20,84.0,8658,6,5,1965,1965,101.0,643,445,1088,1324,0,1324,0,2,0,3,6,1,1965.0,2,440,0,138,0,12,2006,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,No,Rec,Unf,Ex,TA,TA,Attchd,RFn,WD,Abnorml
42,20,115.0,16905,5,6,1959,1959,0.0,967,383,1350,1328,0,1328,0,1,1,2,5,2,1959.0,1,308,0,104,0,7,2007,RL,Reg,Lvl,Inside,Timber,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,Gd,BLQ,Unf,Gd,TA,Gd,Attchd,RFn,WD,Normal
43,85,,9180,5,7,1983,1983,0.0,747,0,840,884,0,884,1,1,0,2,5,0,1983.0,2,504,240,0,0,12,2007,RL,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,Av,ALQ,LwQ,Gd,Gd,,Attchd,RFn,WD,Normal
44,20,,9200,5,6,1975,1980,0.0,280,167,938,938,0,938,1,1,0,3,5,0,1977.0,1,308,145,0,0,7,2008,RL,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,Av,LwQ,BLQ,TA,TA,,Detchd,Unf,WD,Normal
45,20,70.0,7945,5,6,1959,1959,0.0,179,465,1150,1150,0,1150,1,1,0,3,6,0,1959.0,1,300,0,0,0,5,2006,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,No,ALQ,BLQ,Ex,TA,,Attchd,RFn,WD,Normal
46,120,61.0,7658,9,5,2005,2005,412.0,456,1296,1752,1752,0,1752,1,2,0,2,6,1,2005.0,2,576,196,82,0,2,2010,RL,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,No,GLQ,Unf,Ex,Ex,Gd,Attchd,RFn,WD,Normal
47,50,48.0,12822,7,5,2003,2003,0.0,1351,83,1434,1518,631,2149,1,1,1,1,6,1,2003.0,2,670,168,43,0,8,2009,RL,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,No,GLQ,Unf,Ex,Gd,Ex,Attchd,RFn,WD,Abnorml
48,20,84.0,11096,8,5,2006,2006,0.0,24,1632,1656,1656,0,1656,0,2,0,3,7,0,2006.0,3,826,0,146,0,7,2007,FV,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,Av,GLQ,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
49,190,33.0,4456,4,5,1920,2008,0.0,0,736,736,736,716,1452,0,2,0,2,8,0,,0,0,0,0,102,6,2009,RM,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,No,Unf,Unf,Gd,TA,,,,New,Partial
50,20,66.0,7742,5,7,1966,1966,0.0,763,192,955,955,0,955,1,1,0,3,6,0,1966.0,1,386,0,0,0,1,2007,RL,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,No,BLQ,Unf,Ex,TA,,Attchd,Unf,WD,Normal
51,60,,13869,6,6,1997,1997,0.0,182,612,794,794,676,1470,0,2,0,3,6,0,1997.0,2,388,0,75,0,7,2007,RL,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,Av,GLQ,Unf,Gd,TA,,Attchd,Fin,WD,Normal
52,50,52.0,6240,6,6,1934,1950,0.0,0,816,816,816,0,1176,0,1,0,3,6,1,1985.0,2,528,112,0,0,9,2006,RM,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,No,Unf,Unf,TA,TA,Gd,Detchd,Unf,WD,Normal
53,90,110.0,8472,5,5,1963,1963,0.0,104,0,816,816,0,816,1,1,0,2,5,0,1963.0,2,516,106,0,0,5,2010,RM,IR2,Bnk,Corner,IDOTRR,RRNn,Duplex,1Story,Gable,Wd Sdng,Wd Sdng,None,Fa,TA,CBlock,Gd,Gd,LwQ,GLQ,TA,TA,,CarPort,Unf,WD,Normal
54,20,68.0,50271,9,5,1981,1987,0.0,1810,32,1842,1842,0,1842,2,0,1,0,5,1,1981.0,3,894,857,72,0,11,2006,RL,IR1,Low,Inside,Veenker,Norm,1Fam,1Story,Gable,WdShing,Wd Shng,None,Gd,TA,CBlock,Ex,Gd,GLQ,Unf,Gd,Gd,Gd,Attchd,Fin,WD,Normal
55,80,60.0,7134,5,5,1955,1955,0.0,384,0,384,1360,0,1360,0,1,0,3,6,1,1962.0,2,572,0,50,0,2,2007,RL,Reg,Bnk,Inside,NAmes,Norm,1Fam,SLvl,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,No,ALQ,Unf,TA,TA,TA,Detchd,Unf,WD,Normal
56,20,100.0,10175,6,5,1964,1964,272.0,490,935,1425,1425,0,1425,0,2,0,3,7,1,1964.0,2,576,0,0,0,7,2008,RL,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,No,BLQ,Unf,Gd,TA,Gd,Attchd,RFn,WD,Normal
57,160,24.0,2645,8,5,1999,2000,456.0,649,321,970,983,756,1739,1,2,1,3,7,0,1999.0,2,480,115,0,0,8,2009,FV,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,,Attchd,Fin,WD,Abnorml
58,60,89.0,11645,7,5,2004,2004,0.0,0,860,860,860,860,1720,0,2,1,3,7,0,2004.0,2,565,0,70,0,8,2006,RL,IR1,Lvl,Corner,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,No,Unf,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
59,60,66.0,13682,10,5,2006,2006,1031.0,0,1410,1410,1426,1519,2945,0,3,1,3,10,1,2006.0,3,641,192,0,37,10,2006,RL,IR2,HLS,CulDSac,StoneBr,Norm,1Fam,2Story,Hip,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,Gd,Unf,Unf,Ex,Gd,Gd,BuiltIn,Fin,New,Partial
60,20,60.0,7200,5,7,1972,1972,0.0,632,148,780,780,0,780,0,1,0,2,4,0,1973.0,1,352,196,0,0,1,2008,RL,Reg,Bnk,Inside,CollgCr,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,Av,ALQ,Unf,Ex,TA,,Detchd,Unf,WD,Normal
61,20,63.0,13072,6,5,2004,2004,0.0,941,217,1158,1158,0,1158,1,1,1,3,5,0,2006.0,2,576,0,50,0,5,2006,RL,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,No,ALQ,Unf,Ex,Gd,,Detchd,Unf,New,Partial
62,75,60.0,7200,5,7,1920,1996,0.0,0,530,530,581,530,1111,0,1,0,3,6,0,1935.0,1,288,0,0,144,3,2007,RM,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,2.5Unf,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,No,Unf,Unf,TA,Fa,,Detchd,Unf,WD,Normal
63,120,44.0,6442,8,5,2006,2006,178.0,24,1346,1370,1370,0,1370,0,2,0,2,6,1,2006.0,2,484,120,49,0,10,2007,RL,IR1,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Mn,GLQ,Unf,Ex,Gd,Gd,Attchd,RFn,WD,Normal
64,70,50.0,10300,7,6,1921,1950,0.0,0,576,576,902,808,1710,0,2,0,3,9,0,1990.0,2,480,12,11,64,4,2010,RM,IR1,Bnk,Inside,OldTown,RRAn,1Fam,2Story,Gable,Stucco,Stucco,None,TA,TA,BrkTil,TA,No,Unf,Unf,Gd,TA,,Detchd,Unf,WD,Normal
65,60,,9375,7,5,1997,1998,573.0,739,318,1057,1057,977,2034,1,2,1,3,8,0,1998.0,2,645,576,36,0,2,2009,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
66,60,76.0,9591,8,5,2004,2005,344.0,0,1143,1143,1143,1330,2473,0,2,1,4,9,1,2004.0,3,852,192,151,0,10,2007,RL,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,Av,Unf,Unf,Ex,Gd,Gd,BuiltIn,RFn,WD,Normal
67,20,,19900,7,5,1970,1989,287.0,912,1035,1947,2207,0,2207,1,2,0,3,7,1,1970.0,2,576,301,0,0,7,2010,RL,Reg,Lvl,Inside,NAmes,PosA,1Fam,1Story,Gable,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,Gd,GLQ,Unf,TA,TA,Gd,Attchd,RFn,WD,Normal
68,20,72.0,10665,7,5,2003,2003,167.0,1013,440,1453,1479,0,1479,1,2,0,3,7,0,2003.0,2,558,144,29,0,6,2007,RL,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,Av,GLQ,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
69,30,47.0,4608,4,6,1945,1950,0.0,0,747,747,747,0,747,0,1,0,2,4,0,1945.0,1,220,0,0,0,6,2010,RM,Reg,Lvl,Corner,OldTown,Artery,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,No,Unf,Unf,TA,TA,,Attchd,Unf,WD,Normal
70,50,81.0,15593,7,4,1953,1953,0.0,603,701,1304,1304,983,2287,0,2,0,3,7,1,1953.0,2,667,0,21,114,7,2006,RL,Reg,Lvl,Corner,ClearCr,Norm,1Fam,1.5Fin,Gable,BrkFace,AsbShng,None,Gd,TA,CBlock,TA,No,BLQ,Unf,TA,TA,TA,Attchd,Fin,WD,Normal
71,20,95.0,13651,7,6,1973,1973,1115.0,1880,343,2223,2223,0,2223,1,2,0,3,8,2,1973.0,2,516,300,0,0,2,2007,RL,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,Plywood,Plywood,BrkFace,TA,Gd,CBlock,Gd,Gd,ALQ,Unf,Ex,TA,Gd,Attchd,Fin,WD,Normal
72,20,69.0,7599,4,6,1982,2006,0.0,565,280,845,845,0,845,1,1,0,2,4,0,1987.0,2,360,0,0,0,6,2007,RL,Reg,Lvl,Corner,Mitchel,Norm,1Fam,1Story,Gable,HdBoard,Plywood,None,TA,TA,CBlock,TA,No,ALQ,Unf,TA,TA,,Detchd,Unf,WD,Normal
73,60,74.0,10141,7,5,1998,1998,40.0,0,832,832,885,833,1718,0,2,1,3,7,1,1998.0,2,427,0,94,0,12,2009,RL,IR1,Lvl,Corner,Gilbert,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,No,Unf,Unf,Gd,TA,TA,Attchd,Fin,WD,Normal
74,20,85.0,10200,5,7,1954,2003,104.0,320,404,1086,1086,0,1086,1,1,0,3,6,0,1989.0,2,490,0,0,0,5,2010,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,No,ALQ,BLQ,Gd,TA,,Attchd,Unf,WD,Normal
